elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date
-119.0,0,2.0,0.4277992277992278,2.0,1.0,Friendly,1.0,3.0,Azerbaijan,North Macedonia,2010-05-29
-24.0,1,3.5161362118851547,0.6214110839083018,0.8859455481972038,1.5570272259013982,Friendly,0.0,0.0,Poland,Finland,2010-05-29
-463.0,1,1.0,1.0,1.1347785108388313,0.6217404963870562,Friendly,0.0,3.0,Hungary,Germany,2010-05-29
-420.0,1,1.0130539887187753,1.2423851732473812,0.8756898817345597,1.56215505913272,Friendly,1.0,1.0,Tunisia,France,2010-05-30
-30.0,0,0.785835055419876,0.6539545369152734,1.0,2.0,Friendly,1.0,1.0,Nigeria,Colombia,2010-05-30
423.0,0,1.3049312533051296,0.6686277102062401,1.5255474452554745,1.0,Friendly,5.0,1.0,Mexico,Gambia,2010-05-30
53.0,1,1.3329685029794478,0.41858202602456523,1.5027667984189723,1.9889328063241107,Friendly,3.0,0.0,Chile,Israel,2010-05-30
210.0,1,1.6254888198134965,0.3451318560112303,0.0,1.0,Friendly,1.0,0.0,Chile,Northern Ireland,2010-05-30
-190.0,0,1.4186266558529332,1.039470127061368,3.0,1.0,Friendly,1.0,2.0,Japan,England,2010-05-30
200.0,1,1.961266968325792,0.5928506787330317,2.0,1.0,Friendly,5.0,0.0,South Africa,Guatemala,2010-05-31
20.0,0,1.7077423854917462,1.0676586840269704,1.4989093175444064,1.0021813649111873,Friendly,1.0,0.0,Australia,Denmark,2010-06-01
395.0,1,2.0,1.0,0.6614802809292274,0.5378714208535926,Friendly,4.0,1.0,Netherlands,Ghana,2010-06-01
200.0,1,1.321220365332297,1.321220365332297,1.1880730350286028,1.2597758796332577,Friendly,3.0,1.0,Portugal,Cameroon,2010-06-01
77.0,1,1.0,3.0,1.4968616620637711,2.496861662063771,Friendly,0.0,1.0,Switzerland,Costa Rica,2010-06-01
-556.0,1,0.606553771717616,3.406861667033209,1.321220365332297,1.321220365332297,Friendly,0.0,3.0,Zimbabwe,Brazil,2010-06-02
75.0,0,2.041025641025641,0.31965811965811963,2.560453808752026,0.4525121555915721,Friendly,0.0,0.0,Serbia,Poland,2010-06-02
362.0,0,1.0174059517125211,2.5087029758562607,2.4567861715749038,1.0,Friendly,0.0,1.0,Romania,North Macedonia,2010-06-02
-11.0,1,1.5038598574821853,0.5038598574821853,3.4557900741585854,1.0884198516828294,Friendly,0.0,1.0,Norway,Ukraine,2010-06-02
-164.0,1,2.45984,1.54016,1.7705544933078394,0.758444869343531,Friendly,0.0,1.0,Belarus,Sweden,2010-06-02
-261.0,0,1.6262088974854931,1.3892649903288201,1.716195273149942,1.3161565284773344,Friendly,0.0,0.0,Azerbaijan,Honduras,2010-06-02
526.0,1,1.0,0.0,0.0,4.0,Friendly,1.0,0.0,Albania,Andorra,2010-06-02
-52.0,0,0.0,2.0,1.0,1.0,Friendly,0.0,2.0,Greece,Paraguay,2010-06-02
456.0,1,1.7600250626566416,0.4133249791144528,2.0,2.5411899313501145,Friendly,3.0,1.0,Germany,Bosnia and Herzegovina,2010-06-03
-11.0,0,0.0,0.0,1.622620989668298,0.6971179989124524,Friendly,1.0,2.0,Italy,Mexico,2010-06-03
-88.0,1,1.0,2.0,0.0,2.0,Friendly,0.0,0.0,Luxembourg,Faroe Islands,2010-06-04
198.0,1,4.0,1.0,0.6528770214366303,1.3501316284317413,Friendly,3.0,1.0,Slovenia,New Zealand,2010-06-04
79.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,1.0,Sudan,Palestine,2010-06-04
5.0,1,0.480080831408776,1.0,1.3456164862032833,1.7368145302130633,Friendly,3.0,0.0,Slovakia,Costa Rica,2010-06-05
-92.0,1,0.5311004784688995,2.062200956937799,0.5260758050726703,1.0521516101453405,Friendly,1.0,1.0,Switzerland,Italy,2010-06-05
-92.0,1,2.309886236180099,0.5248357634994392,0.9711286089238845,1.0014132848778519,Friendly,1.0,0.0,South Africa,Denmark,2010-06-05
65.0,1,1.508289909995263,0.2362229591031107,1.1641137855579868,1.481468818380744,Friendly,4.0,3.0,Serbia,Cameroon,2010-06-05
-121.0,0,1.5052282157676349,0.7621576763485477,1.2817543193468768,2.0387317258401367,Friendly,1.0,3.0,Australia,United States,2010-06-05
490.0,1,2.6283496581038626,1.0,0.471234978266428,2.057530043467144,Friendly,6.0,1.0,Netherlands,Hungary,2010-06-05
-9.0,0,0.1581707572897,1.8955317809943362,1.0,0.0,Friendly,1.0,0.0,Algeria,United Arab Emirates,2010-06-05
220.0,0,0.7094753328112764,2.0520751761942053,1.3445135832448019,1.031112460160874,Friendly,3.0,0.0,Romania,Honduras,2010-06-05
155.0,0,0.7239647577092511,1.1769162995594713,1.0,1.0,Friendly,1.0,0.0,Ghana,Latvia,2010-06-05
-650.0,1,2.0,3.0,3.0,0.0,Friendly,1.0,5.0,Tanzania,Brazil,2010-06-07
-586.0,0,0.35246110686049476,2.044121397602652,3.0,1.0,Friendly,0.0,3.0,Mozambique,Portugal,2010-06-08
